SHOE_NAME,Brand,Features,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Release Date,Toebox,Weight (oz),Widths Available
PUMA Enzo,PUMA,"{Cheap, Lightweight}",,,,70.00,,,10.1,"{Standard, Wide}"
Reebok Legacy Lifter II,Reebok,{Expensive},,22.0,,200.00,2020,Narrow,22.9,{Standard}
Under Armour Project Rock 4,Under Armour,{Expensive},,,8.0,150.00,2021,Medium,11.0,{Standard}
Reebok CrossFit Nano 7,Reebok,{Low Drop},,,4.0,130.00,,Medium,13.0,{Standard}
Under Armour HOVR Rise 3,Under Armour,{},,,8.0,110.00,2022,Medium,,{Standard}
Under Armour HOVR Rise 4,Under Armour,{},,,8.0,110.00,2022,,11.1,{Standard}
Nike Legend Essential,Nike,{Cheap},,,,60.00,2020,,10.8,"{Standard, Extra Wide}"
Under Armour TriBase Reign 2,Under Armour,{Low Drop},,,2.0,120.00,2020,Medium,10.8,{Standard}
Reebok HIIT,Reebok,{Cheap},,,,90.00,2020,Medium,,"{Standard, Wide}"
Nike Romaleos 3,Nike,{Expensive},,20.0,,200.00,,Medium,14.4,{Standard}
Inov-8 F-Lite 235 v3,Inov-8,"{Low Drop, Lightweight}",7.0,11.0,4.0,130.00,2019,Extra Wide,8.3,"{Standard, Wide}"
Reebok Flexagon,Reebok,"{High Drop, Cheap}",,,13.0,80.00,,,,{Standard}
Under Armour HOVR Rise 2,Under Armour,{},,,8.0,100.00,2020,Medium,11.0,{Standard}
Reebok Flexagon Energy,Reebok,{Cheap},,,,55.00,2019,,,{Standard}
Skechers Vigor 2.0 - Trait,Skechers,{Cheap},,,,60.00,2019,,,"{Standard, Wide, Extra Wide}"
PUMA Ignite Flash evoKNIT,PUMA,"{High Drop, Cheap, Lightweight}",12.0,24.0,12.0,80.00,,,8.0,{Standard}
Under Armour TriBase Reign 5,Under Armour,{Low Drop},,,2.0,130.00,2023,,12.6,{Standard}
Under Armour HOVR Rise,Under Armour,{},,,8.0,100.00,2019,Medium,10.6,{Standard}
Nike Renew Retaliation TR 2,Nike,{Cheap},,,,75.00,2021,,,{Standard}
Under Armour Charged Engage,Under Armour,{Cheap},,,,70.00,2020,,,{Standard}
Altra Solstice XT,Altra,"{Low Drop, Lightweight}",,,0.0,110.00,2020,,8.4,{Standard}
Reebok CrossFit Nano 2.0,Reebok,{},,,,110.00,,Wide,,{Standard}
Nike MC Trainer,Nike,{},,,,70.00,2021,,,{Standard}
PUMA Cell Surin 2 Matte,PUMA,{Cheap},,,,80.00,,,,{Standard}
Reebok CrossFit Nano 8 Flexweave,Reebok,"{Low Drop, Lightweight}",,,4.0,130.00,,Extra Wide,10.0,{Standard}
Nike Metcon Sport,Nike,{Low Drop},,,4.0,100.00,2019,Medium,13.4,{Standard}
Reebok CrossFit Nano 6.0,Reebok,{Low Drop},,,4.0,130.00,2019,Wide,,{Standard}
Nike Air Max Alpha Trainer,Nike,{Cheap},,,,85.00,,,12.0,"{Narrow, Standard}"
Reebok CrossFit Nano 4.0,Reebok,{Lightweight},,,,120.00,,Wide,9.9,{Standard}
Mizuno TC-01,Mizuno,{Low Drop},,,4.0,140.00,2019,Medium,14.0,{Standard}
New Balance Minimus Prevail,New Balance,"{Low Drop, Lightweight}",,,4.0,120.00,2019,Wide,10.0,"{Standard, Wide, Extra Wide}"
Under Armour TriBase Reign,Under Armour,"{Low Drop, Lightweight}",,,2.0,120.00,2019,Medium,10.3,{Standard}
Adidas Leistung 16 II,Adidas,{Expensive},,25.0,,225.00,,Medium,17.0,{Standard}
Reebok Flexagon Force 3,Reebok,{Cheap},,,,65.00,2022,,,"{Standard, Wide}"
Nike SpeedRep,Nike,"{Cheap, Lightweight}",,,,85.00,2021,Medium,10.0,{Standard}
Reebok CrossFit Nano 5.0,Reebok,"{Low Drop, Lightweight}",,,3.0,130.00,2019,,9.5,{Standard}
Inov-8 F-Lite 260 Knit,Inov-8,{Lightweight},6.0,14.0,8.0,140.00,,,9.2,{Standard}
Nike Renew Fusion,Nike,{Cheap},,,,85.00,2020,,,{Standard}
PUMA Tazon 6 FM,PUMA,{Cheap},,,,70.00,,Medium,13.0,"{Standard, Wide}"
Propet One LT,Propet,{},,38.0,,100.00,2019,,12.9,"{Standard, Wide, Extra Wide}"
New Balance Nergize Sport,New Balance,"{Cheap, Lightweight}",,,,65.00,2022,,5.3,"{Standard, Wide}"
New Balance 517,New Balance,{Cheap},,,,65.00,2019,,11.0,{Standard}
Nike Free TR 8,Nike,{Lightweight},,,,100.00,,Medium,10.0,{}
Reebok Flexagon Force 2.0,Reebok,{Cheap},,,,60.00,2019,Narrow,,"{Standard, Wide, Extra Wide}"
Mizuno TC-02,Mizuno,{Low Drop},,,4.0,100.00,2019,Medium,13.0,{Standard}
Reebok Flexagon Force,Reebok,{Cheap},,,,60.00,2019,,,{Standard}
NOBULL Court Trainer,NoBull,{Low Drop},,,4.0,140.00,2022,,12.5,{Standard}
Reebok Flexagon 3,Reebok,{Cheap},,,,75.00,2020,,,"{Standard, Wide}"
Nike Free Metcon 4 Premium,Nike,{},,,,130.00,2023,,,{Standard}
Vibram FiveFingers V-Alpha,Vibram FiveFingers,{Lightweight},,6.0,,110.00,,,4.8,{Standard}
Inov-8 F-Lite 230,Inov-8,"{Minimalist, Low Drop, Lightweight}",,,3.0,125.00,,,8.1,{Standard}
Nike Metcon 7 FlyEase,Nike,{},,,,130.00,2021,Medium,,{Standard}
Vibram FiveFingers V-Aqua,Vibram FiveFingers,"{Minimalist, Cheap, Low Drop, Lightweight}",,,0.0,90.00,2019,,4.9,{Standard}
Inov-8 Fastlift 360,Inov-8,{Expensive},,16.5,,170.00,2020,Medium,12.7,"{Standard, Wide}"
Nike Free x Metcon 2,Nike,{Low Drop},,,5.0,120.00,2019,Medium,11.5,{Standard}
Under Armour Charged Commit 2,Under Armour,{Cheap},,,8.0,80.00,2019,Medium,10.6,"{Standard, Extra Wide}"
Nike Varsity Compete TR 2,Nike,{Lightweight},,,,70.00,2019,,9.9,"{Standard, Wide, Extra Wide}"
Vibram FiveFingers V-Train 2.0,Vibram FiveFingers,"{Minimalist, Lightweight}",,,,120.00,2020,Medium,7.8,{Standard}
Nike Flex Control 3,Nike,"{Cheap, Lightweight}",,,,65.00,2019,,9.0,{Standard}
Skechers Dynamight,Skechers,"{Cheap, Lightweight}",,32.0,,55.00,,,7.5,"{Narrow, Standard}"
Under Armour Project Rock 5,Under Armour,{Expensive},,,8.0,150.00,2022,,14.5,{Standard}
Reebok CrossFit Lite TR,Reebok,"{Cheap, Lightweight}",,,,90.00,,,10.0,{Standard}
Under Armour HOVR Apex 3,Under Armour,{},24.0,32.0,8.0,140.00,2022,Medium,13.6,{Standard}
Reebok Power Lite Mid,Reebok,{Low Drop},,,0.0,120.00,2021,Medium,,{Standard}
Skechers Flex Advantage 2.0 - The Happs,Skechers,"{Cheap, Lightweight}",,,,70.00,,,10.0,"{Standard, Wide}"
Adidas Edge Lux 5,Adidas,{Cheap},,,,85.00,2022,,,{Standard}
Nike Flex Control,Nike,{Cheap},,,,65.00,,,,{Standard}
Skechers Vigor 2.0 - Serpentine,Skechers,{Cheap},,32.0,,60.00,,,16.0,"{Standard, Wide, Extra Wide}"
Nike Renew Retaliation TR,Nike,{},,,,75.00,2019,Narrow,10.9,"{Narrow, Standard}"
Reebok Nano X Unknown,Reebok,{Expensive},,,,150.00,2021,,11.0,{Standard}
Under Armour Project Rock BSR,Under Armour,{},,,8.0,100.00,2022,Medium,,{Standard}
Reebok HIIT 2,Reebok,{},,,,100.00,2022,Medium,,{Standard}
Under Armour TriBase Reign 4 Pro,Under Armour,"{Expensive, Low Drop}",,,2.0,150.00,2022,,,{Standard}
Nike Free TR V8,Nike,{},,,,100.00,,Medium,10.6,{Standard}
Skechers Elite Flex,Skechers,"{Cheap, Lightweight}",,38.0,,65.00,,,10.0,{Standard}
Nike Legend Essential 3,Nike,{Lightweight},,,,65.00,2023,,9.1,{Standard}
Under Armour HOVR Apex 2,Under Armour,{},,,8.0,140.00,2020,Medium,14.0,{Standard}
Reebok CrossFit Nano 9,Reebok,{Low Drop},,,4.0,130.00,2019,Extra Wide,12.0,"{Standard, Wide}"
Nike Air Max Trainer 1,Nike,{},,,,100.00,,,,{Standard}
Reebok Advanced Trainer,Reebok,{Cheap},,,,65.00,2020,,,{Standard}
Avia Avi-Verge,Avia,{},,,,35.00,,,13.0,"{Standard, Wide, Extra Wide}"
Reebok Nano X1,Reebok,{},,,7.0,130.00,2021,Wide,12.0,{Standard}
PUMA LQDCELL Hydra,PUMA,{},,,,100.00,2020,,,{Standard}
Under Armour Project Rock BSR 2,Under Armour,{},,,8.0,100.00,2022,,12.0,{Standard}
