SHOE_NAME,Brand,Closure,Features,MSRP (USD),Material,Spiked,Release Date,Style,Waterproofing,Weight (oz)
Jordan Retro 6 G,Nike,{Laces},{},220.00,{Leather},True,2023,Athletic,Waterproof,
ECCO BIOM Hybrid 3,ECCO,{Laces},{},200.00,{Leather},,2022,Athletic,,14.0
Nike React Infinity Pro,Nike,{Laces},{},120.00,{Synthetic},True,2020,Athletic,Waterproof,
Footjoy Pro SL Carbon BOA,Footjoy,{BOA},{Expensive},240.00,"{Leather, Ortholite}",,2022,Athletic,Waterproof,
Nike Air Zoom Tiger Woods '20,Nike,{Laces},{},150.00,{Synthetic},True,2021,Athletic,Waterproof,
ECCO BIOM Hybrid 3 BOA,ECCO,{BOA},{},220.00,{Leather},,2019,Athletic,Waterproof,
PUMA Proadapt Delta,PUMA,{Laces},{},200.00,{Leather},True,2022,Athletic,Waterproof,14.2
Footjoy eComfort,Footjoy,{Laces},{Cheap},90.00,{Synthetic},True,2022,Athletic,Waterproof,11.1
PUMA Ignite Pwradapt Caged,PUMA,"{Laces, Slip-On}",{},150.00,{Knit},True,2021,Athletic,Waterproof,16.8
ASICS Gel Kayano Ace,ASICS,{Laces},{},170.00,{Synthetic},,2022,Athletic,Waterproof,13.0
Nike Victory G Lite NN,Nike,{Laces},"{Cheap, Breathable}",70.00,{Synthetic},,2022,Athletic,,
Adidas Tour360 22,Adidas,{Laces},{},210.00,{Leather},True,2022,Athletic,Waterproof,16.9
Footjoy Tour Alpha BOA,Footjoy,{BOA},{},220.00,"{Leather, Ortholite}",True,2022,Athletic,Waterproof,17.0
Adidas Tech Response,Adidas,{Laces},{Cheap},70.00,{Synthetic},True,2020,Athletic,,
ASICS Gel Course Ace,ASICS,{Laces},{},150.00,"{Knit, Ortholite}",,2021,Athletic,Water-Resistant,
ECCO Biom H4 BOA,ECCO,{BOA},{Expensive},230.00,"{Leather, Ortholite}",,2022,Athletic,,15.0
Under Armour HOVR Drive 2,Under Armour,{Laces},{},160.00,{Synthetic},True,2022,Athletic,Waterproof,
Adidas CodeChaos BOA,Adidas,{BOA},{},180.00,{Knit},,2020,Athletic,Waterproof,13.1
ECCO Biom G5,ECCO,{BOA},{Expensive},270.00,"{Leather, Ortholite}",True,2023,Athletic,Waterproof,15.0
Adidas ZG21 BOA,Adidas,{BOA},{},190.00,{Synthetic},True,2021,Athletic,Waterproof,13.0
ASICS Gel Course Duo BOA,ASICS,{BOA},{},180.00,{Synthetic},True,2020,Athletic,Waterproof,
PUMA Ignite Nxt,PUMA,{Laces},{},120.00,{Synthetic},,2019,Athletic,Water-Resistant,15.0
Nike Tiger Woods '13,Nike,{Laces},{Expensive},240.00,{Synthetic},True,2023,Athletic,,
Callaway Coronado,Callaway,{Laces},{},130.00,{Synthetic},True,2020,,Waterproof,15.0
Under Armour HOVR Drive,Under Armour,{Laces},{},160.00,{Synthetic},True,2020,Athletic,Waterproof,12.0
Footjoy Traditions Shield Tip,Footjoy,{Laces},{},140.00,{Leather},True,2022,Traditional,Waterproof,
Footjoy Fuel BOA,Footjoy,{BOA},{},159.99,{Leather},,2022,,Waterproof,
New Balance Striker v2,New Balance,{Laces},{Cheap},100.00,{Leather},True,2022,Athletic,Waterproof,
ECCO S-Three,ECCO,{Laces},{},200.00,{Leather},,2020,Athletic,Waterproof,15.8
Nike Infinity G,Nike,{Laces},{Cheap},70.00,{Synthetic},,2021,Athletic,Waterproof,11.0
Footjoy Superlites XP BOA,Footjoy,{BOA},{},130.00,{Synthetic},,2022,Athletic,Waterproof,10.0
ECCO BIOM Hybrid 3 GTX,ECCO,{Laces},{},200.00,{Leather},,2019,Athletic,Waterproof,15.0
Nike Air Zoom Infinity Tour 2 Shield,Nike,{Laces},{},180.00,{Synthetic},True,2023,Athletic,Waterproof,
Nike Victory G Lite,Nike,{Laces},"{Cheap, Breathable}",70.00,{Knit},,2021,Athletic,,
Callaway Del Mar,Callaway,{Laces},{Cheap},95.00,{Synthetic},,2020,,Waterproof,
Jordan ADG 2,Jordan,{Laces},{},150.00,{Leather},,2020,Athletic,Waterproof,15.0
Under Armour HOVR Tour SL,Under Armour,{Laces},{},180.00,{Knit},,2022,Athletic,Waterproof,13.3
New Balance Fresh Foam LinksSL,New Balance,{Laces},{Cheap},100.00,{Synthetic},,2020,,Waterproof,12.0
Skechers Go Golf Max Fairway 3,Skechers,{Laces},"{Cheap, Breathable}",100.00,"{Synthetic, Ortholite}",,2022,Athletic,,
Jordan ADG,Jordan,{Laces},{},140.00,{Leather},,2019,Athletic,,
Adidas Samba Golf,Adidas,{Laces},{},120.00,"{Synthetic, Ortholite}",,2022,Athletic,Water-Resistant,
Footjoy Pro SL 2022,Footjoy,{Laces},{},215.00,{Leather},,2022,,Waterproof,
Skechers GO GOLF Drive 4,Skechers,{Laces},{Cheap},90.00,{Leather},,2019,Athletic,Water-Resistant,
New Balance Breeze,New Balance,{Laces},{},70.00,{Synthetic},,2020,Athletic,,11.5
Under Armour Charged Draw RST,Under Armour,{Laces},{Cheap},110.00,{Leather},True,,Athletic,Waterproof,11.2
Nike Air Zoom Infinity Tour Next% NRG,Nike,{Laces},{},180.00,{Synthetic},True,2023,Athletic,,
Skechers GO GOLF Elite - Tour SL,Skechers,{Laces},{},130.00,{Leather},,2021,Athletic,Waterproof,
Adidas Tech Response 2.0,Adidas,{Laces},"{Cheap, Breathable}",65.00,{Synthetic},True,2021,Athletic,,14.4
Adidas Stan Smith Golf,Adidas,{Laces},{},120.00,{Synthetic},,2022,Athletic,Waterproof,14.4
Nike Air Zoom Infinity Tour Shield,Nike,{Laces},{},180.00,{Synthetic},True,2022,,Waterproof,
ECCO BIOM G 3,ECCO,{Laces},{Expensive},250.00,{Leather},True,2020,Athletic,Waterproof,15.2
