SHOE_NAME,Brand,Cleat Design,Closure,MSRP (USD),Release Date,Rigidity,Use,Weight (oz)
Pearl Izumi X-Alp Canyon,Pearl Izumi,{2 Holes},{Lace},110.00,2020,Stiff,{Mountain},13.8
Giro Gauge,Giro,{2 Holes},{Lace},85.00,2020,Moderate,"{Indoor, Casual, Mountain}",14.3
Specialized Torch 1.0,Specialized,{3 Holes},"{Velcro, BOA}",110.00,2020,Stiff,{Road},10.2
Sidi Alba 2,Sidi,{3 Holes},"{Velcro, BOA}",215.00,2020,Stiff,{Road},11.8
Pearl Izumi X-Alp Summit,Pearl Izumi,{2 Holes},"{Velcro, Ratchet}",140.00,2020,Stiff,{Mountain},15.0
Fizik Vento Infinito Carbon 2,Fizik,{3 Holes},{BOA},350.00,2021,Rigid,{Road},8.0
Fizik Artica X5,Fizik,{2 Holes},{Velcro},230.00,2020,Moderate,"{Winter, Mountain}",16.3
Giro Savix,Giro,"{2 Holes, 3 Holes}","{Velcro, BOA}",145.00,2019,Moderate,{Road},10.9
Giro Code Techlace,Giro,{2 Holes},"{Velcro, BOA, Lace}",300.00,2020,Rigid,"{Cyclocross, Mountain}",12.2
Pearl Izumi All-Road v5,Pearl Izumi,{2 Holes},{Velcro},90.00,2020,Moderate,"{Indoor, Road}",10.6
Giro Berm,Giro,{2 Holes},{Velcro},75.00,2020,Stiff,"{Indoor, Mountain}",14.6
Giro Republic R Knit,Giro,{2 Holes},{Lace},150.00,2020,Stiff,{Road},10.9
Bontrager Foray,Bontrager,{2 Holes},"{Velcro, BOA}",150.00,2020,Moderate,"{Indoor, Casual, Mountain}",13.0
Pearl Izumi Tour Road,Pearl Izumi,"{2 Holes, 3 Holes}",{Lace},130.00,2020,Stiff,"{Indoor, Road}",9.5
Five Ten Impact Sam Hill,Five Ten,{Flat},{Lace},150.00,2020,Stiff,{Mountain},18.2
Giro Empire VR70 Knit,Giro,{2 Holes},{Lace},250.00,2019,Rigid,{Mountain},13.4
Sidi Trace 2,Sidi,{2 Holes},"{Velcro, BOA}",215.00,2020,Rigid,"{Cyclocross, Mountain}",13.8
Bontrager Circuit,Bontrager,"{2 Holes, 3 Holes}","{Velcro, BOA}",140.00,2020,Moderate,"{Indoor, Road}",9.2
Fizik Terra Clima X2,Fizik,{2 Holes},"{Velcro, BOA}",250.00,2020,Moderate,{Mountain},14.6
Sidi Tiger,Sidi,{2 Holes},{BOA},550.00,2020,Stiff,"{Cyclocross, Mountain}",14.4
Scott MTB Team BOA,Scott,{2 Holes},"{Velcro, BOA}",150.00,2020,Stiff,{Mountain},13.6
Adidas The Velosamba Vegan,Adidas,{2 Holes},{Lace},130.00,2022,Flexible,{Casual},
Mavic Crossmax,Mavic,{2 Holes},{},100.00,2020,Flexible,{Mountain},11.8
Fizik Vento Powerstrap R2 Aeroweave,Fizik,{3 Holes},{Velcro},400.00,2020,Rigid,{Road},7.2
Mavic Cosmic,Mavic,{3 Holes},{Velcro},120.00,2020,Moderate,{Road},8.8
Bont Helix,Bont,{3 Holes},{BOA},399.00,2020,Rigid,{Road},9.2
