SHOE_NAME,Arch Support,Brand,Closure,Material,MSRP (USD),Release Date,Surface,Toebox,Weight (oz)
Propet Stability X Strap,Stability,Propet,{Velcro},Mesh,80.00,2020,{Concrete},,12.0
Reebok Ever Road DMX,Neutral,Reebok,{Lace-Up},Mesh,70.00,,{Concrete},,
Propet Connelly,Neutral,Propet,{Lace-Up},Leather,105.00,2019,{Trail},,13.1
Propet Life Walker Strap,Stability,Propet,{Velcro},Leather,80.00,2019,{Concrete},,14.0
New Balance 669 v2,Neutral,New Balance,{Lace-Up},Suede,75.00,2020,{Trail},,13.6
Skechers GOwalk 5 - Qualify,Neutral,Skechers,{Lace-Up},Mesh,70.00,2020,{Cobblestone},,7.3
New Balance 928 v3,Stability,New Balance,{Lace-Up},Mesh,140.00,,{},,
Skechers Arch Fit - Comfy Wave,Stability,Skechers,{Lace-Up},Knit,95.00,2022,"{Cobblestone, Concrete}",Medium,
Vionic Walker Classic,Stability,Vionic,{Lace-Up},Leather,100.00,2019,{Concrete},,14.1
New Balance 1350,Neutral,New Balance,{Lace-Up},Mesh,130.00,,{Trail},,12.0
Skechers GOwalk 4 - Incredible,Neutral,Skechers,{Slip-On},Mesh,60.00,,{Cobblestone},,7.5
Propet Connelly Strap,Neutral,Propet,{Velcro},Leather,105.00,2019,{Trail},,12.8
Skechers Elite Flex - Wasick,Neutral,Skechers,{Slip-On},Knit,65.00,,{Cobblestone},,9.0
Vionic Malibu,Stability,Vionic,{Slip-On},Canvas,60.00,2021,{Concrete},Medium,
Propet Village Walker,Stability,Propet,{Lace-Up},Leather,100.00,2019,{Concrete},,16.0
On Cloud Monochrome,Neutral,On,{Slip-On},Mesh,130.00,2022,"{Cobblestone, Concrete}",Medium,8.1
Propet Stability Walker Strap,Stability,Propet,{Velcro},Leather,85.00,2019,{},,15.0
Olukai Laeahi Li Ili,Neutral,OluKai,"{Lace-Up, Slip-On}",Leather,140.00,2022,"{Cobblestone, Concrete}",Medium,
Skechers GOwalk Joy - Sensational Day,Neutral,Skechers,{Slip-On},Knit,65.00,2022,"{Cobblestone, Concrete}",Medium,
Skechers Arch Fit Motley - Oven,Stability,Skechers,{Slip-On},Canvas,85.00,2022,"{Cobblestone, Concrete}",Wide,
Skechers GOwalk Massage Fit,Neutral,Skechers,{Lace-Up},Mesh,109.00,2022,"{Cobblestone, Concrete}",Medium,
Vionic Zinah,Stability,Vionic,{Slip-On},Leather,119.99,2022,"{Cobblestone, Concrete}",Medium,
New Balance 840 v2,Neutral,New Balance,{Lace-Up},Leather,105.00,,{Concrete},,11.5
New Balance 365,Neutral,New Balance,{Lace-Up},Knit,65.00,,{Concrete},,8.0
Reebok Ridgerider 5,Neutral,Reebok,{Lace-Up},Mesh,65.00,2020,{Trail},,
Avia Avi-Union II,Neutral,Avia,{Lace-Up},Leather,45.00,,{Concrete},,14.0
New Balance 669,Neutral,New Balance,{Lace-Up},Mesh,75.00,,{Trail},,13.4
New Balance Hook and Loop 813,Stability,New Balance,{Velcro},Leather,90.00,,{Concrete},,13.6
Reebok Ever Road DMX 3,,Reebok,{Lace-Up},Knit,70.00,2020,{Concrete},Medium,8.0
Skechers GOwalk Max - Privy,Neutral,Skechers,{Slip-On},,60.00,,{Concrete},,7.5
Skechers Work: Bulklin Comp Toe,Neutral,Skechers,{Lace-Up},Mesh,90.00,2020,{Concrete},,
New Balance Leather 928 v3,Stability,New Balance,{Lace-Up},Leather,140.00,,{Concrete},,15.5
Avia Avi-Union II Strap,Neutral,Avia,{Velcro},Synthetic,40.00,,{Concrete},,14.1
Reebok Walk Ultra 6 DMX Max,Neutral,Reebok,{Lace-Up},Leather,65.00,,{Concrete},,13.6
Reebok Ever Road DMX 2,Neutral,Reebok,{Lace-Up},Leather,80.00,2020,{Concrete},,
Reebok Astroride Trail 2,Neutral,Reebok,{Lace-Up},Mesh,75.00,2020,{Trail},,
