SHOE_NAME,Brand,Closure,Cut,MSRP (USD),Pronation,Release Date,Season,Use,Waterproofing,Weight (oz),Widths Available
Teva Gateway Low,Teva,Laces,Low,100.00,{},2021,{Summer},"{Light, Urban, Day}",,9.0,"{Narrow, Standard}"
Hoka Kaha Low GTX,Hoka,Laces,Low,200.00,{},2021,{},{Day},Waterproof,15.8,{Standard}
Salomon Tech Amphib 4,Salomon,Laces,Low,100.00,{},2020,{Summer},{Water},,10.1,{Standard}
Adidas Terrex AX4 Primegreen,Adidas,Laces,Low,90.00,{},2022,{Summer},{Day},,,"{Standard, Wide}"
Adidas Terrex AX4,Adidas,Laces,Low,100.00,{Neutral},2022,{Summer},{Day},,13.4,{Standard}
Chaco Ramble Fluff,Chaco,Slip On,Low,85.00,{},2022,{},"{Snow, Light}",,,{Standard}
Scarpa Mojito Trail GTX,Scarpa,Laces,Low,145.00,{Neutral},2020,{},"{Speed, Urban}",Waterproof,15.9,"{Narrow, Standard, Wide}"
The North Face Vectiv Fastpack Futurelight,The North Face,Laces,Low,139.00,{},2023,{},"{Light, Speed}",Waterproof,11.4,"{Narrow, Standard}"
Lems Mesa,Lems,Laces,Low,125.00,{},2019,{Summer},"{Urban, Day}",,9.8,{Standard}
Columbia Redmond III,Columbia,Laces,Low,80.00,{},2021,{Summer},{Day},,12.3,"{Standard, Wide}"
Hoka Kaha 2 Low GTX,Hoka,Laces,Low,220.00,{},2023,{},{Day},Waterproof,16.8,{Standard}
Merrell Hydro Runner,Merrell,Slip On,Low,80.00,{},2023,{Summer},{Water},,8.5,{Standard}
KEEN NXIS Evo WP,KEEN,Laces,Low,180.00,{},2022,{},{Speed},Waterproof,13.4,{Standard}
Salewa Mountain Trainer Lite Mid GTX,Salewa,Laces,Mid,200.00,{Neutral},2020,{},{Backpacking},Waterproof,19.9,{Standard}
Salewa Mountain Trainer Lite,Salewa,Laces,Low,130.00,{Neutral},2020,{Summer},"{Speed, Day}",,14.7,"{Narrow, Standard}"
Vasque Satoru Trail LT Low,Vasque,Laces,Low,150.00,{},2021,{Summer},"{Speed, Day}",,10.2,{Standard}
Merrell Moab 2 Prime,Merrell,Laces,Low,120.00,{Neutral},2020,{},{Day},,16.4,"{Standard, Wide}"
Chaco Ramble Puff Linear,Chaco,Slip On,Mid,85.00,{},2022,{},"{Snow, Light}",,13.0,{Standard}
Merrell Accentor,Merrell,Laces,Low,90.00,{Neutral},2020,{Summer},{Day},,13.1,{Standard}
Merrell Accentor 2 Vent,Merrell,Laces,Low,90.00,{Neutral},2020,{Summer},{Day},,15.0,{Standard}
