SHOE_NAME,Brand,Features,Lockdown,MSRP (USD),Release Date,Signature,Top,Weight (oz)
Nike PG 4,Nike,{Outdoor},"{Zipper, Laces}",110.00,2019,Paul George,Low,13.7
Nike Air Zoom BB NXT,Nike,{},{Laces},180.00,2019,,Low,
Nike LeBron 7,Nike,"{Expensive, Ankle Support}",{Laces},200.00,2019,LeBron James,Mid,15.4
Adidas Dame 5,Adidas,{Ankle Support},{Laces},115.00,,Damian Lillard,Mid,
Nike Zoom Freak 2,Nike,{Outdoor},{Laces},120.00,2019,Giannis Antetokounmpo,Low,
Adidas Harden Vol. 7,Adidas,{},{Laces},160.00,2023,James Harden,Mid,15.1
Adidas Dame Certified,Adidas,"{Outdoor, Cheap}",{Laces},95.00,2023,Damian Lillard,Low,12.6
Nike KD Trey 5 X,Nike,"{Ankle Support, Cheap}",{Laces},95.00,2022,Kevin Durant,Mid,10.9
New Balance Kawhi,New Balance,"{Ankle Support, Outdoor}",{Laces},160.00,2019,Kawhi Leonard,Mid,
Nike Kyrie Flytrap 5,Nike,"{Ankle Support, Cheap}",{Laces},90.00,2021,Kyrie Irving,Mid,10.6
Under Armour Lockdown 5,Under Armour,"{Ankle Support, Outdoor, Cheap}",{Laces},70.00,2021,,Mid,
Nike LeBron 17,Nike,"{Expensive, Ankle Support}",{Laces},200.00,,LeBron James,High,16.2
Nike Kyrie Flytrap 4,Nike,{Cheap},{Laces},90.00,2021,Kyrie Irving,Low,10.4
Nike Air Zoom G.T. Cut 2,Nike,{},{Laces},130.00,2022,,Low,12.5
Jordan Westbrook One Take,Jordan,"{Ankle Support, Cheap}",{Laces},100.00,2019,Russell Westbrook,Mid,
Jordan Max Aura,Jordan,{Ankle Support},{Laces},120.00,,,Mid,
Nike Lebron 18 Low,Nike,{},{Laces},160.00,2021,LeBron James,Low,13.5
Jordan React Elevation,Jordan,{Ankle Support},{Laces},120.00,2019,,Mid,
Jordan Why Not? Zer0.5,Jordan,"{Ankle Support, Outdoor}",{Laces},130.00,2022,Russell Westbrook,Mid,11.7
Adidas Marquee Boost,Adidas,{Ankle Support},{Laces},130.00,,,Mid,
AND 1 Tai Chi,AND 1,"{Ankle Support, Cheap}",{Laces},90.00,,,Mid,
Under Armour Lockdown 6,Under Armour,"{Ankle Support, Cheap}",{Laces},70.00,2022,,Mid,
